"Species","GeneID","GeneName","Elements","Citation.s....DOI.only","Closest.ortholog.species","Tissue","Comments","Primary.Inferred","Inferred.from.","A.thaliana orthologs","M.truncatula orthologs","O.sativa orthologs","Z.mays orthologs","G.max orthologs","S.bicolor orthologs","S.viridisearly-release orthologs","S.italica orthologs"
"G.max","Glyma.09G036400",NA,"Fe,Cd,Co,Mo",NA,NA,NA,NA,"Inferred","AT1G56430","AT1G09240,AT1G56430,AT5G04950,AT5G56080","Medtr2g034240","LOC_Os03g19420,LOC_Os03g19427,LOC_Os07g48980","AC233955.1_FG003,GRMZM2G030036,GRMZM2G034956,GRMZM2G050108,GRMZM2G124785,GRMZM2G312481,GRMZM2G385200,GRMZM2G439195,GRMZM2G478568,GRMZM2G704488","Glyma.09G036400","Sobic.001G151400,Sobic.001G395900","Sevir.2G452700,Sevir.9G044800","Seita.2G440200,Seita.9G045300,Seita.9G429600"
"G.max","Glyma.19G228400",NA,"Fe,Cd,Co,Mo",NA,NA,NA,NA,"Inferred","AT1G56430","AT1G09240,AT1G56430,AT5G04950,AT5G56080","Medtr7g112130","LOC_Os03g19420,LOC_Os03g19427,LOC_Os07g48980","AC233955.1_FG003,GRMZM2G030036,GRMZM2G034956,GRMZM2G050108,GRMZM2G124785,GRMZM2G312481,GRMZM2G385200,GRMZM2G439195,GRMZM2G478568,GRMZM2G704488","Glyma.19G228400","Sobic.001G151400,Sobic.001G395900","Sevir.2G452700,Sevir.9G044800","Seita.2G440200,Seita.9G045300,Seita.9G429600"
"G.max","Glyma.07G023600",NA,"Mn",NA,NA,NA,NA,"Inferred","AT1G80830","AT1G15960,AT1G80830","","LOC_Os06g46310","GRMZM2G069198","Glyma.07G023600","Sobic.010G227800","Sevir.4G276100","Seita.4G263200"
"G.max","Glyma.08G218200",NA,"Mn",NA,NA,NA,NA,"Inferred","AT1G80830","AT1G15960,AT1G80830","","LOC_Os06g46310","GRMZM2G069198","Glyma.08G218200","Sobic.010G227800","Sevir.4G276100","Seita.4G263200"
"G.max","Glyma.13G369900",NA,"Mn",NA,NA,NA,NA,"Inferred","AT1G80830","AT1G15960,AT1G80830","Medtr2g104990","LOC_Os06g46310","GRMZM2G069198","Glyma.13G369900","Sobic.010G227800","Sevir.4G276100","Seita.4G263200"
"G.max","Glyma.15G003500",NA,"Mn",NA,NA,NA,NA,"Inferred","AT1G80830","AT1G15960,AT1G80830","Medtr2g104990","LOC_Os06g46310","GRMZM2G069198","Glyma.15G003500","Sobic.010G227800","Sevir.4G276100","Seita.4G263200"
"G.max","Glyma.05G240600",NA,"Fe,Zn",NA,NA,NA,NA,"Inferred","AT2G01770,LOC_Os04g38940,LOC_Os09g23300","AT2G01770","Medtr8g105790","LOC_Os04g38940,LOC_Os09g23300","GRMZM2G074672,GRMZM2G107306","Glyma.05G240600","Sobic.006G109000","Sevir.7G134800","Seita.7G126700"
"G.max","Glyma.08G047500",NA,"Fe,Zn",NA,NA,NA,NA,"Inferred","AT2G01770,LOC_Os04g38940,LOC_Os09g23300","AT2G01770","Medtr8g105790","LOC_Os04g38940,LOC_Os09g23300","GRMZM2G074672,GRMZM2G107306","Glyma.08G047500","Sobic.006G109000","Sevir.7G134800","Seita.7G126700"
"G.max","Glyma.16G049600",NA,"S",NA,NA,NA,NA,"Inferred","AT2G13540","AT2G13540","Medtr7g083840","LOC_Os03g22570","GRMZM2G083689","Glyma.16G049600","Sobic.001G373800","Sevir.9G409800","Seita.9G406000"
"G.max","Glyma.19G101600",NA,"S",NA,NA,NA,NA,"Inferred","AT2G13540","AT2G13540","Medtr7g083840","LOC_Os03g22570","GRMZM2G083689","Glyma.19G101600","Sobic.001G373800","Sevir.9G409800","Seita.9G406000"
"G.max","Glyma.11G108100",NA,"Zn",NA,NA,NA,NA,"Inferred","AT2G16770,AT4G35040","AT2G16770,AT4G35040","Medtr4g073100","LOC_Os06g50310","GRMZM2G000171,GRMZM2G055413","Glyma.11G108100","Sobic.010G267500","Sevir.4G293800,Sevir.9G058800","Seita.4G281600,Seita.9G059700"
"G.max","Glyma.12G033000",NA,"Zn",NA,NA,NA,NA,"Inferred","AT2G16770,AT4G35040","AT2G16770,AT4G35040","Medtr4g073100","LOC_Os06g50310","GRMZM2G000171,GRMZM2G055413","Glyma.12G033000","Sobic.010G267500","Sevir.4G293800,Sevir.9G058800","Seita.4G281600,Seita.9G059700"
"G.max","Glyma.13G099600",NA,"Zn,Cd",NA,NA,NA,NA,"Inferred","AT2G19110,AT4G30110,LOC_Os07g12900","AT2G19110,AT4G30110","Medtr4g127580","LOC_Os07g12900","GRMZM2G099191","Glyma.13G099600","Sobic.010G250900","Sevir.2G092800,Sevir.2G093100,Sevir.4G255000","Seita.2G090300,Seita.2G090500,Seita.4G242300"
"G.max","Glyma.17G060400",NA,"Zn,Cd",NA,NA,NA,NA,"Inferred","AT2G19110,AT4G30110,LOC_Os07g12900","AT2G19110,AT4G30110","","LOC_Os07g12900","GRMZM2G099191","Glyma.17G060400","Sobic.010G250900","Sevir.2G092800,Sevir.2G093100,Sevir.4G255000","Seita.2G090300,Seita.2G090500,Seita.4G242300"
"G.max","Glyma.12G017900",NA,"As",NA,NA,NA,NA,"Inferred","AT2G21045","AT2G21045","Medtr2g017630","LOC_Os02g01220,LOC_Os04g17660","AC204711.3_FG003","Glyma.12G017900","Sobic.006G032700","Sevir.2G207400","Seita.2G199200"
"G.max","Glyma.01G190700",NA,"Fe,Mn,Zn",NA,NA,NA,NA,"Inferred","AT2G23150","AT2G23150","Medtr5g016270","LOC_Os12g39180","GRMZM2G028036","Glyma.01G190700","Sobic.001G170000,Sobic.008G143700","Sevir.3G384700,Sevir.9G169700","Seita.3G367300,Seita.9G171400"
"G.max","Glyma.05G101700",NA,"Fe,Mn,Zn",NA,NA,NA,NA,"Inferred","AT2G23150","AT2G23150","Medtr4g095075","","GRMZM2G028036","Glyma.05G101700","Sobic.001G170000,Sobic.008G143700","Sevir.3G384700,Sevir.9G169700",""
"G.max","Glyma.11G051500",NA,"Fe,Mn,Zn",NA,NA,NA,NA,"Inferred","AT2G23150","AT2G23150","Medtr5g016270","LOC_Os12g39180","GRMZM2G028036","Glyma.11G051500","Sobic.001G170000,Sobic.008G143700","Sevir.3G384700,Sevir.9G169700","Seita.3G367300,Seita.9G171400"
"G.max","Glyma.17G165200",NA,"Fe,Mn,Zn",NA,NA,NA,NA,"Inferred","AT2G23150","AT2G23150","Medtr4g095075","","GRMZM2G028036","Glyma.17G165200","Sobic.001G170000,Sobic.008G143700","Sevir.3G384700,Sevir.9G169700",""
"G.max","Glyma.04G073000",NA,"Mo",NA,NA,NA,NA,"Inferred","AT2G25680","AT2G25680","Medtr3g108190","LOC_Os08g01120","GRMZM2G083156","Glyma.04G073000","Sobic.001G187300","Sevir.9G183400","Seita.9G184500"
"G.max","Glyma.06G074100",NA,"Mo",NA,NA,NA,NA,"Inferred","AT2G25680","AT2G25680","Medtr3g108190","LOC_Os08g01120","GRMZM2G083156","Glyma.06G074100","Sobic.001G187300","Sevir.9G183400","Seita.9G184500"
"G.max","Glyma.14G130000",NA,"Mo",NA,NA,NA,NA,"Inferred","AT2G25680","AT2G25680","Medtr1g010210","LOC_Os08g01120","GRMZM2G083156","Glyma.14G130000","Sobic.001G187300","Sevir.9G183400","Seita.9G184500"
"G.max","Glyma.17G203000",NA,"Mo",NA,NA,NA,NA,"Inferred","AT2G25680","AT2G25680","Medtr1g010210","LOC_Os08g01120","GRMZM2G083156","Glyma.17G203000","Sobic.001G187300","Sevir.9G183400","Seita.9G184500"
"G.max","Glyma.17G203200",NA,"Mo",NA,NA,NA,NA,"Inferred","AT2G25680","AT2G25680","Medtr1g010210","LOC_Os08g01120","GRMZM2G083156","Glyma.17G203200","Sobic.001G187300","Sevir.9G183400","Seita.9G184500"
"G.max","Glyma.17G203500",NA,"Mo",NA,NA,NA,NA,"Inferred","AT2G25680","AT2G25680","","LOC_Os08g01120","GRMZM2G083156","Glyma.17G203500","Sobic.001G187300","Sevir.9G183400","Seita.9G184500"
"G.max","Glyma.11G144000",NA,"Ca,Mn,Zn,Na,S,K,As,Se,Mo",NA,NA,NA,NA,"Inferred","AT2G28670","AT1G07730,AT2G28670","Medtr4g062470,Medtr4g062520","LOC_Os01g06250","AC206350.3_FG005","Glyma.11G144000","Sobic.003G064800","Sevir.5G106900","Seita.5G110100"
"G.max","Glyma.11G144200",NA,"Ca,Mn,Zn,Na,S,K,As,Se,Mo",NA,NA,NA,NA,"Inferred","AT2G28670","AT1G07730,AT2G28670","Medtr4g062470,Medtr4g062520","LOC_Os01g06250","AC206350.3_FG005","Glyma.11G144200","Sobic.003G064800","Sevir.5G106900","Seita.5G110100"
"G.max","Glyma.12G067400",NA,"Ca,Mn,Zn,Na,S,K,As,Se,Mo",NA,NA,NA,NA,"Inferred","AT2G28670","AT1G07730,AT2G28670","Medtr4g062470,Medtr4g062520","LOC_Os01g06250","AC206350.3_FG005","Glyma.12G067400","Sobic.003G064800","Sevir.5G106900","Seita.5G110100"
"G.max","Glyma.01G128300",NA,"Co",NA,NA,NA,NA,"Inferred","AT2G38460,AT5G03570","AT2G38460,AT5G03570","Medtr4g013240,Medtr4g013245","LOC_Os06g36450","GRMZM2G110862,GRMZM2G148060","Glyma.01G128300","Sobic.010G168400","Sevir.4G281800","Seita.4G269800"
"G.max","Glyma.03G042400",NA,"Co",NA,NA,NA,NA,"Inferred","AT2G38460,AT5G03570","AT2G38460,AT5G03570","Medtr4g013240,Medtr4g013245","LOC_Os06g36450","GRMZM2G110862,GRMZM2G148060","Glyma.03G042400","Sobic.010G168400","Sevir.4G281800","Seita.4G269800"
"G.max","Glyma.02G095400",NA,"Mn",NA,NA,NA,NA,"Inferred","AT2G39450","AT2G39450","Medtr7g022890","LOC_Os01g62070","GRMZM2G014454","Glyma.02G095400","Sobic.003G349200","Sevir.3G220300,Sevir.5G379500","Seita.3G215300,Seita.5G374300"
"G.max","Glyma.18G286100",NA,"Mn",NA,NA,NA,NA,"Inferred","AT2G39450","AT2G39450","Medtr7g022890","LOC_Os01g62070","GRMZM2G014454","Glyma.18G286100","Sobic.003G349200","Sevir.3G220300,Sevir.5G379500","Seita.3G215300,Seita.5G374300"
"G.max","Glyma.07G049200",NA,"Zn",NA,NA,NA,NA,"Inferred","AT2G46800","AT2G46800","Medtr2g036390","LOC_Os05g03780","GRMZM2G036908,GRMZM2G477741","Glyma.07G049200","","Sevir.3G050000","Seita.3G049900"
"G.max","Glyma.16G017800",NA,"Zn",NA,NA,NA,NA,"Inferred","AT2G46800","AT2G46800","Medtr2g036390","LOC_Os05g03780","GRMZM2G036908,GRMZM2G477741","Glyma.16G017800","","Sevir.3G050000","Seita.3G049900"
"G.max","Glyma.13G207200",NA,"Na,K,Rb,Mg,Ca,Fe,Mo",NA,NA,NA,NA,"Inferred","AT3G06060","AT3G06060,AT5G19200","Medtr2g022600","LOC_Os02g47350","GRMZM2G147701,GRMZM2G167431","Glyma.13G207200","Sobic.004G269700,Sobic.004G337066","Sevir.1G292400","Seita.1G287300"
"G.max","Glyma.15G105400",NA,"Na,K,Rb,Mg,Ca,Fe,Mo",NA,NA,NA,NA,"Inferred","AT3G06060","AT3G06060,AT5G19200","Medtr2g022600","LOC_Os02g47350","GRMZM2G147701,GRMZM2G167431","Glyma.15G105400","Sobic.004G269700,Sobic.004G337066","Sevir.1G292400","Seita.1G287300"
"G.max","Glyma.02G140500",NA,"As",NA,NA,NA,NA,"Inferred","AT3G06100","AT3G06100","","","","Glyma.02G140500","","",""
"G.max","Glyma.10G033600",NA,"As",NA,NA,NA,NA,"Inferred","AT3G06100","AT3G06100","","","","Glyma.10G033600","","",""
"G.max","Glyma.03G263400",NA,"S",NA,NA,NA,NA,"Inferred","AT3G14280","AT3G14280","Medtr7g117550","LOC_Os02g54180,LOC_Os06g09350","","Glyma.03G263400","Sobic.004G321500,Sobic.010G071400","Sevir.1G349900,Sevir.4G039500,Sevir.4G039600","Seita.1G179900,Seita.1G342900,Seita.2G256600,Seita.4G041800,Seita.4G042000"
"G.max","Glyma.07G045700",NA,"S",NA,NA,NA,NA,"Inferred","AT3G14280","AT3G14280","Medtr8g023100","LOC_Os02g54180,LOC_Os06g09350","","Glyma.07G045700","Sobic.004G321500,Sobic.010G071400","Sevir.1G349900,Sevir.4G039500,Sevir.4G039600","Seita.1G179900,Seita.1G342900,Seita.2G256600,Seita.4G041800,Seita.4G042000"
"G.max","Glyma.16G013600",NA,"S",NA,NA,NA,NA,"Inferred","AT3G14280","AT3G14280","Medtr8g023100","LOC_Os02g54180,LOC_Os06g09350","","Glyma.16G013600","Sobic.004G321500,Sobic.010G071400","Sevir.1G349900,Sevir.4G039500,Sevir.4G039600","Seita.1G179900,Seita.1G342900,Seita.2G256600,Seita.4G041800,Seita.4G042000"
"G.max","Glyma.19G262400",NA,"S",NA,NA,NA,NA,"Inferred","AT3G14280","AT3G14280","Medtr7g117550","LOC_Os02g54180,LOC_Os06g09350","","Glyma.19G262400","Sobic.004G321500,Sobic.010G071400","Sevir.1G349900,Sevir.4G039500,Sevir.4G039600","Seita.1G179900,Seita.1G342900,Seita.2G256600,Seita.4G041800,Seita.4G042000"
"G.max","Glyma.06G246600",NA,"Na,Fe,Zn,Mn,Mo",NA,NA,NA,NA,"Inferred","AT3G15380","AT3G15380","Medtr8g059125","LOC_Os04g58470,LOC_Os04g58504","GRMZM2G051917,GRMZM2G125768","Glyma.06G246600","Sobic.006G270400,Sobic.007G000700","Sevir.3G014100,Sevir.6G001500","Seita.3G012800,Seita.6G001600"
"G.max","Glyma.12G150800",NA,"Na,Fe,Zn,Mn,Mo",NA,NA,NA,NA,"Inferred","AT3G15380","AT3G15380","Medtr8g059125","LOC_Os04g58470,LOC_Os04g58504","GRMZM2G051917,GRMZM2G125768","Glyma.12G150800","Sobic.006G270400,Sobic.007G000700","Sevir.3G014100,Sevir.6G001500","Seita.3G012800,Seita.6G001600"
"G.max","Glyma.12G223200",NA,"Na,Fe,Zn,Mn,Mo",NA,NA,NA,NA,"Inferred","AT3G15380","AT3G15380","Medtr2g079490","LOC_Os04g58470,LOC_Os04g58504","GRMZM2G051917,GRMZM2G125768","Glyma.12G223200","Sobic.006G270400,Sobic.007G000700","Sevir.3G014100,Sevir.6G001500","Seita.3G012800,Seita.6G001600"
"G.max","Glyma.13G278300",NA,"Na,Fe,Zn,Mn,Mo",NA,NA,NA,NA,"Inferred","AT3G15380","AT3G15380","Medtr2g079490","LOC_Os04g58470,LOC_Os04g58504","GRMZM2G051917,GRMZM2G125768","Glyma.13G278300","Sobic.006G270400,Sobic.007G000700","Sevir.3G014100,Sevir.6G001500","Seita.3G012800,Seita.6G001600"
"G.max","Glyma.05G237500",NA,"Fe,Zn,Mn",NA,NA,NA,NA,"Inferred","AT3G18290","AT3G18290","Medtr8g104410","LOC_Os01g49470","GRMZM2G175661,GRMZM2G312712","Glyma.05G237500","Sobic.003G262200,Sobic.009G222200","Sevir.3G159900,Sevir.5G279700","Seita.3G156900,Seita.5G276900"
"G.max","Glyma.07G093700",NA,"Fe,Zn,Mn",NA,NA,NA,NA,"Inferred","AT3G18290","AT3G18290","Medtr6g083900","LOC_Os01g49470","GRMZM2G175661,GRMZM2G312712","Glyma.07G093700","Sobic.003G262200,Sobic.009G222200","Sevir.3G159900,Sevir.5G279700","Seita.3G156900,Seita.5G276900"
"G.max","Glyma.08G044700",NA,"Fe,Zn,Mn",NA,NA,NA,NA,"Inferred","AT3G18290","AT3G18290","Medtr8g104410","LOC_Os01g49470","GRMZM2G175661,GRMZM2G312712","Glyma.08G044700","Sobic.003G262200,Sobic.009G222200","Sevir.3G159900,Sevir.5G279700","Seita.3G156900,Seita.5G276900"
"G.max","Glyma.09G182600",NA,"Fe,Zn,Mn",NA,NA,NA,NA,"Inferred","AT3G18290","AT3G18290","Medtr6g083900","LOC_Os01g49470","GRMZM2G175661,GRMZM2G312712","Glyma.09G182600","Sobic.003G262200,Sobic.009G222200","Sevir.3G159900,Sevir.5G279700","Seita.3G156900,Seita.5G276900"
"G.max","Glyma.10G242600",NA,"S",NA,NA,NA,NA,"Inferred","AT3G22890","AT3G22890,AT4G14680","Medtr1g102550","LOC_Os03g53230","GRMZM2G051270,GRMZM2G149952","Glyma.10G242600","Sobic.001G094300","Sevir.9G095300","Seita.9G096900"
"G.max","Glyma.20G151500",NA,"S",NA,NA,NA,NA,"Inferred","AT3G22890","AT3G22890,AT4G14680","Medtr1g102550","LOC_Os03g53230","GRMZM2G051270,GRMZM2G149952","Glyma.20G151500","Sobic.001G094300","Sevir.9G095300","Seita.9G096900"
"G.max","Glyma.10G007300",NA,"Fe",NA,NA,NA,NA,"Inferred","AT3G23210,AT4G14410","AT3G23210,AT4G14410","Medtr1g043430","","","Glyma.10G007300","","",""
"G.max","Glyma.20G088600",NA,"Fe",NA,NA,NA,NA,"Inferred","AT3G23210,AT4G14410","AT3G23210,AT4G14410","Medtr1g043430","","","Glyma.20G088600","","",""
"G.max","Glyma.05G027600",NA,"Fe,Zn,Mn,Co",NA,NA,NA,NA,"Inferred","AT3G47640","AT3G47640","Medtr4g108360","LOC_Os03g26210,LOC_Os07g43530","GRMZM2G017145,GRMZM2G350312","Glyma.05G027600","Sobic.001G355600,Sobic.002G385300","Sevir.2G412100,Sevir.9G389000","Seita.2G400400,Seita.8G180600,Seita.9G384500"
"G.max","Glyma.17G098900",NA,"Fe,Zn,Mn,Co",NA,NA,NA,NA,"Inferred","AT3G47640","AT3G47640","Medtr4g108360","LOC_Os03g26210,LOC_Os07g43530","GRMZM2G017145,GRMZM2G350312","Glyma.17G098900","Sobic.001G355600,Sobic.002G385300","Sevir.2G412100,Sevir.9G389000","Seita.2G400400,Seita.8G180600,Seita.9G384500"
"G.max","Glyma.04G174800",NA,"Na",NA,NA,NA,NA,"Inferred","AT3G47950","AT3G47950,AT5G62670","Medtr4g107500","LOC_Os03g48310,LOC_Os12g44150","GRMZM2G035520,GRMZM2G068259,GRMZM2G104325","Glyma.04G174800","Sobic.001G132400,Sobic.002G065000,Sobic.008G190500","Sevir.2G071500,Sevir.3G424800,Sevir.9G133800","Seita.3G406700,Seita.9G134900"
"G.max","Glyma.05G030700",NA,"Na",NA,NA,NA,NA,"Inferred","AT3G47950","AT3G47950,AT5G62670","Medtr4g107500","LOC_Os03g48310,LOC_Os12g44150","GRMZM2G035520,GRMZM2G068259,GRMZM2G104325","Glyma.05G030700","Sobic.001G132400,Sobic.002G065000,Sobic.008G190500","Sevir.2G071500,Sevir.3G424800,Sevir.9G133800","Seita.3G406700,Seita.9G134900"
"G.max","Glyma.06G189900",NA,"Na",NA,NA,NA,NA,"Inferred","AT3G47950","AT3G47950,AT5G62670","Medtr4g107500","LOC_Os03g48310,LOC_Os12g44150","GRMZM2G035520,GRMZM2G068259,GRMZM2G104325","Glyma.06G189900","Sobic.001G132400,Sobic.002G065000,Sobic.008G190500","Sevir.2G071500,Sevir.3G424800,Sevir.9G133800","Seita.3G406700,Seita.9G134900"
"G.max","Glyma.17G096100",NA,"Na",NA,NA,NA,NA,"Inferred","AT3G47950","AT3G47950,AT5G62670","Medtr4g107500","LOC_Os03g48310,LOC_Os12g44150","GRMZM2G035520,GRMZM2G068259,GRMZM2G104325","Glyma.17G096100","Sobic.001G132400,Sobic.002G065000,Sobic.008G190500","Sevir.2G071500,Sevir.3G424800,Sevir.9G133800","Seita.3G406700,Seita.9G134900"
"G.max","Glyma.03G146700",NA,"Mn",NA,NA,NA,NA,"Inferred","AT3G58060,LOC_Os03g12530","AT3G58060","Medtr3g062610","LOC_Os03g12530","GRMZM2G118497","Glyma.03G146700","Sobic.001G445000","Sevir.9G482200","Seita.9G478600"
"G.max","Glyma.19G150000",NA,"Mn",NA,NA,NA,NA,"Inferred","AT3G58060","AT3G58060","","","","Glyma.19G150000","","",""
"G.max","Glyma.03G154400",NA,"Fe",NA,NA,NA,NA,"Inferred","AT4G02780","AT4G02780","Medtr7g094970","LOC_Os02g17780","GRMZM2G044481,GRMZM2G081554","Glyma.03G154400","Sobic.001G248600","Sevir.9G265300,Sevir.9G357500","Seita.9G262400,Seita.9G351400"
"G.max","Glyma.03G154700",NA,"Fe",NA,NA,NA,NA,"Inferred","AT4G02780","AT4G02780","Medtr7g011663","LOC_Os02g17780","GRMZM2G044481,GRMZM2G081554","Glyma.03G154700","Sobic.001G248600","Sevir.9G265300,Sevir.9G357500","Seita.9G262400,Seita.9G351400"
"G.max","Glyma.19G157000",NA,"Fe",NA,NA,NA,NA,"Inferred","AT4G02780","AT4G02780","Medtr7g011663","LOC_Os02g17780","GRMZM2G044481,GRMZM2G081554","Glyma.19G157000","Sobic.001G248600","Sevir.9G265300,Sevir.9G357500","Seita.9G262400,Seita.9G351400"
"G.max","Glyma.01G002300",NA,"Na",NA,NA,NA,NA,"Inferred","AT4G10310","AT4G10310","Medtr6g092970","LOC_Os01g20160,LOC_Os02g07830","GRMZM2G047616","Glyma.01G002300","Sobic.004G059800","Sevir.1G067600,Sevir.5G023200,Sevir.5G195200","Seita.1G068700"
"G.max","Glyma.06G271600",NA,"Na",NA,NA,NA,NA,"Inferred","AT4G10310","AT4G10310","Medtr6g092970","LOC_Os01g20160,LOC_Os02g07830","GRMZM2G047616","Glyma.06G271600","Sobic.003G145800","Sevir.1G067600,Sevir.5G023200,Sevir.5G195200","Seita.5G024400,Seita.5G192900"
"G.max","Glyma.07G130100",NA,"Na",NA,NA,NA,NA,"Inferred","AT4G10310","AT4G10310","Medtr6g092970","LOC_Os01g20160,LOC_Os02g07830","GRMZM2G047616","Glyma.07G130100","Sobic.004G059800","Sevir.1G067600,Sevir.5G023200,Sevir.5G195200","Seita.1G068700"
"G.max","Glyma.12G133400",NA,"Na",NA,NA,NA,NA,"Inferred","AT4G10310","AT4G10310","Medtr6g092970","LOC_Os01g20160,LOC_Os02g07830","GRMZM2G047616","Glyma.12G133400","Sobic.003G145800","Sevir.1G067600,Sevir.5G023200,Sevir.5G195200","Seita.5G024400,Seita.5G192900"
"G.max","Glyma.07G267800",NA,"Fe,Cd",NA,NA,NA,NA,"Inferred","AT4G16370","AT4G16370","Medtr4g133968","LOC_Os03g54000","GRMZM2G421491","Glyma.07G267800","Sobic.001G087700","Sevir.9G088600","Seita.9G090100"
"G.max","Glyma.17G006100",NA,"Fe,Cd",NA,NA,NA,NA,"Inferred","AT4G16370","AT4G16370","Medtr4g133968","LOC_Os03g54000","GRMZM2G421491","Glyma.17G006100","Sobic.001G087700","Sevir.9G088600","Seita.9G090100"
"G.max","Glyma.07G223200",NA,"Fe,Mn,Co,Cd,Zn",NA,NA,NA,NA,"Inferred","AT4G19690,Medtr4g083570","AT1G31260,AT4G19680,AT4G19690","Medtr4g083570","","","Glyma.07G223200","","",""
"G.max","Glyma.20G022500",NA,"Fe,Mn,Co,Cd,Zn",NA,NA,NA,NA,"Inferred","AT4G19690,Medtr4g083570","AT1G31260,AT4G19680,AT4G19690","Medtr4g083570","","","Glyma.20G022500","","",""
"G.max","Glyma.10G172900",NA,"Fe,Zn,Cu",NA,NA,NA,NA,"Inferred","AT4G24120","AT4G24120","Medtr1g077840","","","Glyma.10G172900","","",""
"G.max","Glyma.20G217400",NA,"Fe,Zn,Cu",NA,NA,NA,NA,"Inferred","AT4G24120","AT4G24120","Medtr1g077840","","","Glyma.20G217400","","",""
